English,Hebrew
‏- Deactivate,"לנטרל, להפסיק"
‏- Decal,מדבקה
‏- Decision,החלטה
‏- Decrease,"להקטין, להפחית, ירידה"
‏- Defect,"פגם, לקוי"
‏- Deflate,להוציא אוויר
‏- Deflection,"הטיה, סטייה"
‏- Deflector,משטח סטייה
‏- Defog,להפיג ערפל
‏- Deformation,התעוותות
‏- Defuel,לרוקן דלק
‏- Degree,מעלה
‏- Deice,להפשיר קרח
‏- Delaminate,לקלף שכבות
‏- Delay,"השהייה, להשתהות, עיכוב, פיגור"
‏- Delete,"לבטל, למחוק"
‏- Demand,"דרישה, לדרוש"
‏- Demonstrate,"להדגים, להראות, להציג"
‏- Density,צפיפות
‏- Dent,עיקום (מכה)
‏- Deplete,"לרוקן, לכלות"
‏- Deployment,פריסה
‏- Deposit,"פיקדון, שיקוע, הפקדה"
‏- Depressurize,לשחרר לחץ
‏- Depth,עומק
‏- Detach,"לנתק, להפריד"
‏- Detail,"פרט, תיאור"
‏- Detect,לגלות
‏- Detector,גלאי
‏- Deterioration,"התדרדרות, החמרה, בליה"
‏- Determine,"לקבוע, להחליט"
‏- Develop,לפתח
‏- Deviation,"סטייה, חריגה"
‏- Device,"מכשיר, חרגון"
‏- Diagonal,אלכסוני
‏- Dial,חוגה
‏- Diameter,קוטר
‏- Diffuse,מפוזר
‏- Dilute,לדלל
‏- Dim,"עמום, לעמם"
‏- Dimension,מימד
‏- Diminish,להקטין
‏- Dip Stick,מדיד שמן (מדיד נוזלים)
‏- Direction,כיוון
‏- Disassemble,לפרק
‏- Discard,"לזרוק, להשליך"
‏- Discharge,"פריקה, לשחרר, לפרוק (חשמל סטטי)"
‏- Discoloration,שינוי צבע
‏- Disconnect,לנתק
‏- Discover,לגלות
‏- Discrepancy,"אי-התאמה, סתירה"
‏- Disengage,לשחרר
‏- Disk,דיסקית
‏- Dismantle,לפרק
‏- Displace,להזיז ממקומו
‏- Display,"תצוגה, להציג"
‏- Disposal,סילוק
‏- Distortion,עיוות
‏- Distribution,"חלוקה, תפוצה"
‏- Divert,להסיט
‏- Dome,כיפה
‏- Door,דלת
‏- Double,כפול
‏- Downstream,במורד הזרם
‏- Drag,גרר
‏- Drainage,ניקוז
‏- Drawing,"ציור, רישום, תכנית"
‏- Drill,"לקדוח, מקדח, אימון"
‏- Drip,טפטוף
‏- Drive,"להניע, הנעה"
‏- Drum,תוף
‏- Dry,"יבש, לייבש"
‏- Due to,עקב
‏- Duration,משך
‏- During,"במשך, במהלך"
‏- Dust,אבק
‏- Duty,"חובה, תפקיד"
‏- Emergency,חירום
‏- Emit,לפלוט
‏- Empennage,זנב
‏- Empty,"לרוקן, ריק"
‏- End,"לסיים, סוף"
‏- Endanger,לסכן
‏- Engage,"לחבר, לשלב"
‏- Engine Driven,"מונע ע""י המנוע"
‏- Engine Flameout,כיבוי פתאומי של המנוע
‏- Engine Runup,הרצת מנוע
‏- Enhance,"לשפר, להגדיל"
‏- Enhancement,השבחה
‏- Ensure,להבטיח
‏- Entire,"שלם, כולל, כולו"
‏- Environment,סביבה
‏- Equal,"שווה, זהה"
‏- Equipment,ציוד
‏- Equivalent,"שווה-ערך, שקול"
‏- Erase,למחוק
‏- Erosion,שחיקה
‏- Erratic,לא יציב
‏- Erroneous,"שגוי, מוטעה"
‏- Error,"שגיאה, טעות"
‏- Escape,"בריחה, להימלט"
‏- Essential,"חיוני, מהותי"
‏- Establish,להקים
‏- Fast,מהיר
‏- Fasten,"להדק, לרתום"
‏- Fatigue,עייפות
‏- Faucet,ברז
‏- Faulty,"פגום, לקוי"
‏- Feasible,"אפשרי, בר-ביצוע"
‏- Feed,"להאכיל, הזנה"
‏- Feedback,משוב
‏- Field,"שדה, תחום"
‏- Figure,"דמות, צורה"
‏- Fill,למלא
‏- Filler,חומר מילוי
‏- Filter,מסנן
‏- Findings,ממצאים
‏- Finish,"לסיים, גימור"
‏- Firm,"מוצק, קשה"
‏- Fissure,סדק
‏- Fit,להתאים
‏- Fix,לתקן
‏- Fixture,מתקן
‏- Flag,דגל
‏- Flake,שבב
‏- Flammable,דליק
‏- Flaps,מדפים
‏- Flashlight,פנס
‏- Estimate,לאמוד
‏- Evaluation,הערכה
‏- Evaporate,להתאדות
‏- Even,אפילו
‏- Event,אירוע
‏- Exceed,"לחרוג, לעלות על"
‏- Excessive,מוגזם
‏- Exchange,להחליף
‏- Excursion,סטייה
‏- Exhaust,אגזוז
‏- Exhibit,להציג
‏- Exit,יציאה
‏- Expansion,התפשטות
‏- Expiration,תפוגה
‏- Explain,להסביר
‏- Explode,להתפוצץ
‏- Explosion,פיצוץ
‏- Explosive,חומר נפץ
‏- Export,לייצא
‏- Expose,לחשוף
‏- Extend,להאריך
‏- Extend Landing Gear,להאריך כני נחיתה
"‏- Exterior, External",חיצוני
‏- Extinguish,לכבות
‏- Extract,"להוציא, לחלץ"
‏- Extra,נוסף
‏- Extreme,קיצוני
‏- Fabrication,ייצור
‏- Facility,מתקן
‏- Failure,כשל
‏- False,שגוי
‏- Fan,מאוורר
‏- Flat,שטוח
‏- Flex,לכופף
‏- Flexible,גמיש
‏- Float,לצוף
‏- Floor,רצפה
‏- Flow,זרימה
‏- Flow Chart,תרשים זרימה
‏- Fluctuate,להתנדנד
‏- Fluctuation,תנודה
‏- Flush,לשטוף
‏- Foam,קצף
‏- Fog,ערפל
‏- Fold,לקפל
‏- Follow-Up,מעקב
‏- Formation,"יצירה, היווצרות"
‏- Forward,קדימה
‏- Fracture,שבר
‏- Frayed,מרופט
‏- Freeze,לקפוא
‏- Freight,מטען
‏- Frequency,תדר
‏- Friction,חיכוך
‏- Fumes,אדים
‏- Function,תפקוד
‏- Functional Checklist,רשימת תפקוד לפיקוד
‏- Function Properly,פועל כראוי
‏- Furnish,"לספק, לרהט"
‏- Fuselage,גוף המטוס
‏- Fuzzy,מטושטש
‏- Gage,מד
‏- Gain,להרוויח
‏- Galley,מטבח
‏- Gap,"פער, רווח"
‏- Gasket,אטם
‏- Gearbox,תיבת הילוכים
‏- General,כללי
‏- Glue,דבק
‏- Goggles,משקפיים
‏- Gradient,מדרון
‏- Gradual,הדרגתי
‏- Grave,"קבר, חמור"
‏- Great,"גדול, נהדר"
‏- Grip,אחיזה
‏- Groove,חריץ
‏- Ground,קרקע
‏- Grounded,מקורקע
‏- Grounding,הארקה
‏- Guide,"מדריך, להדריך"
‏- Half,חצי
‏- Hammer,פטיש
‏- Handle,"ידית, להתמודד"
‏- Harness,רתמה
‏- Harmful,מזיק
‏- Harm,נזק
‏- Hazard,סיכון
‏- Hazardous,מסוכן
‏- Headset,אוזניות
‏- Heat,חום
‏- Heater,תנור
‏- Heavy,כבד
‏- Height,גובה
‏- High,גבוה
‏- Highloader,מטעין גבוה
‏- Hinge,ציר
‏- Hoist,מנוף
‏- Hold,להחזיק
‏- Hold-Up,עיכוב
‏- Hollow,חלול
‏- Hood,מכסה מנוע
‏- Hook,"וו, קרס"
‏- Horizontal,אופקי
‏- Horn,צופר
‏- Hose,צינור
‏- Housing,"מעטה, בית"
‏- Hub,"טבור, מרכז"
‏- Humidity,לחות
‏- Icing,הקפאה
‏- Identification,זיהוי
‏- Idle,סרק
‏- Igniter,מצת
‏- Ignition,הצתה
‏- Illumination,תאורה
‏- Illustration,איור
‏- Impact,פגיעה
‏- Impair,"להרע, להחליש"
‏- Impedance,התנגדות (חשמלית)
‏- Improve,לשפר
‏- In the event of...,במקרה של...
‏- Inability,אי יכולת
‏- Inaccurate,לא מדויק
‏- Inadvertent,לא מכוון
‏- Inboard,פנימי
‏- Incident,אירוע
‏- Inclination,נטייה
‏- Incorporate,לשלב
‏- Increase,להגדיל
‏- Indicate,"להראות, לציין"
‏- Indication,אינדיקציה
‏- Indicator,מחוון
‏- Inflammable,דליק
‏- Inflate,לנפח
‏- Inflight,בזמן טיסה
‏- Ingredient,מרכיב
‏- Inhibiting,מעכב
‏- Initial,ראשוני
‏- Initially,בתחילה
‏- Injury,פציעה
‏- Inlet,כניסה
‏- Inoperative,לא פעיל
‏- Insert,להכניס
‏- Inspect,לבדוק
‏- Inspection,בדיקה
‏- Install,להתקין
‏- Installation,התקנה
‏- Instruction,הוראה
‏- Instrument,"מכשיר, כלי"
‏- Insufficient,לא מספיק
‏- Insulation,בידוד (חשמל)
‏- Integrated,משולב
‏- Integration,שילוב
‏- Intensity,עוצמה
‏- Interchangeable,תחליפי
‏- Interconnected,מחובר הדדית
‏- Interfere,להפריע
‏- Interference,"התערבות, הפרעה"
‏- Interior,פנים
‏- Intermediate,ביניים
‏- Intermittent,לסירוגין
‏- Internal,פנימי
‏- Interrupt,"להפריע, להפסיק"
‏- Interval,"מרווח, רוח, הפסקה"
‏- Introduce,"להכניס, להציג, להחדיר"
‏- Inventory,מלאי
‏- Investigate,לחקור
‏- Irreversible,בלתי הפיך
‏- Isolation,בידוד
‏- Issue,"הוצאה, להוציא, לפקח"
‏- Item,פריט
‏- Jack,מגבה
‏- Jacking,הגבהה
‏- Jam,"מעצור (הגורם כתוצאה מתקלה טכנית), להיתקע, לשבש שידור"
‏- Jammed,תקוע
‏- Jettison,להשליך
‏- Join,לחבר
‏- Joint,"חיבור, מפרק"
‏- Jumper,גשרון
‏- Junction,צומת
‏- Junction Box,קופסת-חיבורים
‏- Kit,ערכה
‏- Ladder,סולם
‏- Lagging,פיגור
‏- Laminated,"מצופה שכבות, למינציה"
‏- Lamination,שכבה
‏- Lamp,מנורה
‏- Landing Gear,כני נחיתה
‏- Large,גדול
‏- Lateral,צדדי
‏- Lavatory,שירותים
‏- Layer,שכבה
‏- Leading Edge,שפת התקפה
‏- Leak,"דליפה, אזן"
‏- Ledge,מדף
‏- Legend,מקרא
‏- Length,אורך
‏- Lessen,"להפחית, למעט, להחליש"
‏- Level,"מפלס, פלס מים, רמה, מישור, לאזן"
‏- Leveling,החלקה (יישור)
‏- Lever,מנוף
‏- Lid,"כיסוי, מכסה"
‏- Lift,להרים
‏- Light,"אור, מָאור"
‏- Lighting,תאורה
‏- Lightning,ברק
‏- Like,דומה
‏- Limit,"גבול, להגביל, תחום, חסם, מגבלה"
‏- Limitation,"הגבלה, מגבלה"
‏- Limiter,מגביל
‏- Link,"חוליה מקשרת, חיבור, לקשר"
‏- Liquid,נוזל
‏- Little,קטן
‏- Load,"עומס, משא, להעמיס"
‏- Locate,למקם
‏- Location,מיקום
‏- Lock,לנעול
‏- Longitudinal,אורכי
‏- Look for,לחפש
‏- Loose,"חופשי, משוחרר, רפוי, רופף"
‏- Loss,אובדן
‏- Loudspeaker,רמקול
‏- Low,נמוך
‏- Lower,"תחתון, יותר נמוך, להנמיך"
‏- Lube,סיכה
‏- Lubrication,שימון
- Magnitude,סדר-גודל
- Main,"עיקרי, ראשי"
- Maintain,לתחזק
- Maintenance,תחזוקה
- Major,"עיקרי, ראשי"
- Make Smaller,להקטין
- Male,זכרי
- Malfunction,"תפקוד לקוי, תקלה"
- Manifold,"סעפת, רב גוני, סעף"
- Manned,מאויש
- Manual,ידני
- Manufacturer,יצרן
- Margin,שוליים
- Marginal,שולי
- Marking,סימון
- Masking,"הסתרה, הסוואה"
- Match,"התאמה, להתאים"
- Mating,מותאם
- Maximal,מירבי
- Measure,"למדוד, מידה"
- Measures,אמצעים
- Mechanism,מנגנון
- Medium,בינוני
- Melted,"מומס, מותך"
- Metal,מתכת
- Meter,"מד, מונה, למדוד במטרים"
- Method,שיטה
- Minimize,"להקטין, לצמצם"
- Minor,"קטן, זוטר"
- Minute,"דקה, רגע"
- Misaligned,לא על קו ישר
- Miscellaneous,"שונה, מגוון"
- Mismatch,"חוסר התאמה, להתאים באופן שגוי"
- Mistake,טעות
- Mix,לערבב
- Mixture,תערובת
- Mode,מצב (צורה)
- Model,דגם
- Modify,"לשנות, להתאים"
- Modulation,ויסות
- Moist,"לח, לחות"
- Moisture,לחות
- Momentary,רגעי
- Monitor,לעקוב
- Mooring,עגינה
- Motion,תנועה
- Motor,מנוע
- Mount,בסיס
- Multi-Channel,רב-ערוצי
- Multiple,מרובה
- Mute,להחליש עוצמה
- Nacelle,בית מנוע
- Narrow,צר
- Navigation,ניווט
- Near,"קרוב, סמוך"
- Negative,שלילי
- Negligible,זניח
- Neutral,נייטרלי
- Nil,"אפס, לא כלום"
- Noise,רעש
- Nomenclature,שמות מונחים
- Normal,"רגיל, נורמלי"
- Nose Landing Gear,כן נחיתה קדמי
- Noted,מצוין
- Notice,"הודעה, להבחין, לשים לב"
- Noxious,מזיק
- Nozzle,"זרבובית, נחיר"
- Nut,אום
- O-Ring,אטם
- Observation,תצפית
- Obsolete,"מיושן, שאינו בשימוש"
- Obstacle,מכשול
- Obstruction,"מכשול, מחסום, חסם"
- Obtain,להשיג
- Occurrence,"אירוע, מקרה"
- Odor,ריח
- Oil Canning,התכופפות פח בין שתי נקודות
- Opening,"פתח, פתיחה"
- Operable,להפעיל
- Operate,להפעיל
- Operate Manually,להפעיל ידנית (מובקרת)
- Operation,תפעול
- Operator,מפעיל
- Opposite,"מנוגד, הפוך"
- Optional,"רשות, אפשרי"
- Order,"הוראה, סדר, לצוות"
- Orifice,"צוהר, פתח גישה, נקב"
- Oscillation,תנודה
- Outboard,חיצוני
- Outlet,"יציאה, מוצא, פתח אוורור, שקע (חשמל)"
- Out-of-Order,"מקולקל, לא פועל, לא תקין"
- Output,"תפוקה, הספק, תוצרת"
- Overhaul,שיפוץ
- Overheat,חימום יתר
- Overlap,חפיפה
- Overload,עומס יתר
- Override,"עקיפה, לעקוף"
- Oversize,"גדול מדי, מעל למידה"
- Oxidation,חמצון
- Oxygen,חמצן
- Packed,צפוף
- Packing,אריזה
- Pad,פד
- Paint,"צבע, לצבוע"
- Pallet,משטח לשינוע מכולות
- Panel,לוח
- Parallel,מקביל
- Parking,חניה
- Partial,חלקי
- Partition,מחיצה
- Passage,מעבר
- Peak,"שיא, להגיע לשיא"
- Pedal,דוושה
- Peeling,קילוף
- Pending,תלוי ועומד
- Penetrate,לחדור
- Perforate,לנקב
- Performance,ביצוע
- Periodic,תקופתי
- Periodical,מחזורי
- Permanent,קבוע
- Permissible,מותר
- Persistent,נמשך
- Phase,"שלב, מופע (פיז)"
- Pierce,לנקב
- Pipe,צינור
- Pitch,"גובה הצליל, להטות"
- Pivot,ציר
- Pitted,מחורר
- Placard,שלט
- Place,"מקום, להניח, לשים, להציב"
- Plan,תוכנית
- Plate,לוח
- Play,"משחק, לנגן, לשחק"
- Plug,"תקע, לסתום"
- Pocket,כיס
- Poisonous,רעיל
- Polarity,קוטביות
- Port,"צוהר, פתח גישה, נמל"
- Portable,נייד
- Position,"מצב, מיקום, להציג, תצוגה"
- Positioning,מיצוב
- Possible,אפשרי
- Post,"להציג, לפרסם, עמוד"
- Postpone,"לדחות, להשעות"
- Potable,ראוי לשתיה
- Power,"עוצמה, כוח"
- Practicable,"אפשרי לביצוע, מעשי"
‏- Practical,"מעשי, שימושי"
‏- Precaution,"זהירות, אמצעי זהירות"
‏- Precede,לקדם
‏- Precise,מדויק
‏- Preferred,מועדף
‏- Preliminary,מקדים
‏- Pressure,לחץ
‏- Primary,ראשי
‏- Priority,עדיפות
‏- Probe,"בדיקה, צינור חישה"
‏- Procedure,"הליך, בדיקה"
‏- Proceed,להמשיך
‏- Process,"תהליך, שיטה, לעבד"
‏- Production,ייצור
‏- Program,תוכנית
‏- Project,פרויקט
‏- Properties,"תכונות, לבעלות"
‏- Proper,"נכון, מתאים"
‏- Proportional,פרופורציונלי
‏- Put Out,לכבות
‏- Pylon,עמוד
‏- Quality,איכות
‏- Quantity,כמות
‏- Quick,מהיר
‏- Quiet,שקט
‏- Rack,מתלה
‏- Radiation,קרינה
‏- Raft,רפסודה
‏- Radar,"מכ""ם"
‏- Radome,"חופת מכ""ם"
‏- Rail,מסילה
‏- Raise,"להעלות, להרים"
‏- Random,אקראי
‏- Range,טווח
‏- Rapid,מהיר
‏- Rate,שיעור
‏- Ratio,יחס
‏- Ray,קרן
‏- Re-,מחדש
‏- Reaction,תגובה
‏- Readiness,מוכנות
‏- Receptacle,מיכל
‏- Reception,קליטה
‏- Recess,הפסקה
‏- Recoil,נסיגה
‏- Recommend,להמליץ
‏- Record,"לרשום, להקליט"
‏- Recorder,מקליט
‏- Recover,"להתאושש, להחזיר"
‏- Reconstruct,לשחזר
‏- Recoverable,ניתן לשחזור
‏- Recovery,"התאוששות, שיקום"
‏- Rectify,לתקן
‏- Reduce,"להפחית, להקטין"
‏- Redundant,מיותר
‏- Refer to,להתייחס ל-
‏- Reference,"אזכור, התייחסות"
‏- Refine,לזקק
‏- Reflect,לשקף
‏- Refill,למלא מחדש
‏- Refuel,לתדלק
‏- Refuse,לסרב
‏- Refuse (noun),אשפה
‏- Regulate,לווסת
‏- Reinforce,לחזק
‏- Reinstall,להתקין מחדש
‏- Reject,לדחות
‏- Relative,"יחסי, קרוב משפחה"
‏- Release,לשחרר
‏- Relief,הקלה
‏- Relieve,להקל
‏- Remain,להישאר
‏- Remedy,"תרופה, תיקון"
‏- Removal,הסרה
‏- Remove,להסיר
‏- Remote,מרוחק
‏- Repair,לתקן
‏- Repairable,ניתן לתיקון
‏- Repetitive,חוזר על עצמו
‏- Replace,להחליף
‏- Reposition,למקם מחדש
‏- Rig,"לצייד, לפרוק"
‏- Rigging,ריג (סידור)
‏- Rigid,קשיח
‏- Rigid,קשיח
‏- Risk,סיכון
‏- Rivet,מסמרה
‏- Rod,מוט
‏- Roller Bearing,מיסב גלילים
‏- Room,חדר
‏- Rope,חבל
‏- Root,שורש
‏- Rotary,סיבובי
‏- Rotation,סיבוב
‏- Roughness,חספוס
‏- Round,עגול
‏- Route,מסלול
‏- Rubber,גומי
‏- Rubbing,חיכוך
‏- Rupture,קריעה
‏- Rust,חלודה
‏- Safety,בטיחות
‏- Sampling,דגימה
‏- Satisfactory,מספק
‏- Saturated,רווי
‏- Scale,קנה מידה
‏- Schedule,לוח זמנים
‏- Scoop,מצקת
‏- Scrap,גרוטאה
‏- Scraping,גירוד
‏- Scratch,שריטה
‏- Screen,"מסך, לרתק, לסנן"
‏- Screening,"סינון, הסוואה"
‏- Screw,בורג
‏- Seal,לאטום
‏- Seam,תפר
‏- Search,"חיפוש, לחפש"
‏- Seat,מושב
‏- Secondary,משני
‏- Section,"חתך, קטע"
‏- Sector,מגזר
‏- Secure,"לאבטח, להדק"
‏- Sediment,משקע
‏- Segment,קטע
‏- Seized,נתפס
‏- Selector,בורר
‏- Sensitivity,רגישות
‏- Sensor,חיישן
‏- Separate,להפריד
‏- Separation,הפרדה
‏- Sequence,רצף
‏- Serial,"סידורי, סידרתי, תורי (בחשמל)"
‏- Series,סדרה
‏- Serious,"חמור, רציני"
‏- Service,שירות
‏- Serviceable,שמיש
‏- Set,"קבוע, לקבע, לכוון, להציג"
‏- Set Up,להקים
‏- Severe,חמור
‏- Shaft,ציר
‏- Sharp,חד
‏- Shear Pin,פין גזירה
‏- Shearing,גזירה
‏- Sheet Metal,לוח מתכת
‏- Sheet Metal Worker,פחח
‏- Shelf,מדף
‏- Shield,"מגן, לגון, לסוכך"
‏- Shift,להזיז
‏- Shim,"רפידה, לוחית"
‏- Short,קצר (חשמל)
‏- Show,"להראות, להציג, להראות, תצוגה"
‏- Shrinkage,התכווצות
‏- Shroud,מעטה
‏- Shut Off,"להפסיק, לנתק, לסגור"
‏- Shutoff Valve,שסתום סגירה
‏- Shuttle,לנוע הלוך ושוב
‏- Side Play,חופש תנועה לצדדים
‏- Signal,"אות, לאותת, סימן, לסמן"
‏- Significant,משמעותי
‏- Silence,שקט
‏- Similar,דומה
‏- Single,יחיד
‏- Situation,מצב
‏- Skating,החלקות
‏- Skid,"החלקה, להחליק"
‏- Skin,מעטה
‏- Skip,לדלג
‏- Slack,"רפוי, רפוי"
‏- Slant,שיפוע
‏- Slat,כפון
‏- Sleeve,שרוול
‏- Slide,"להחליק, מיתלה הרמה"
‏- Sling,מתלה
‏- Slipping,החלקות
‏- Slope,שיפוע
‏- Slot,חריץ
‏- Slow,"איטי, להאט"
‏- Sludge,רפש
‏- Sluggish,"איטי, כבד"
‏- Small,קטן
‏- Smell,ריח
‏- Smelted,מותך
‏- Smoke,"עשן, לעשן"
‏- Smoothing,החלקה (יישור)
‏- Soak,להשרות
‏- Socket,שקע (חשמלי)
‏- Soft,רך
‏- Software,תוכנה
‏- Solder,להלחם
‏- Solid,מוצק
‏- Soluble,מסיס
‏- Solvent,"חומר ממס, ממס"
‏- Soot,פיח
‏- Source,מקור
‏- Space,"מרווח, רווח"
‏- Span,מוטת כנפיים
‏- Spar,קורה
‏- Spare Parts,חלקי חילוף
‏- Spark,ניצוץ
‏- Speaker,רמקול
‏- Specification,מפרט
‏- Speed,"מהירות, להניע במהירות"
‏- Spill,"שפיכה, לשפוך"
‏- Spillage,השפכות
‏- Spin,"סיבוב, לסובב"
‏- Splice,"חיבור, לחבר"
‏- Splicing,איחוי
‏- Spray,לרסס
‏- Spring,"קפיץ, קפיצה"
‏- Squeeze,"לחתוך, ללחוץ, למעוך"
‏- Stability,יציבות
‏- Stabilizer,מייצב
‏- Stage,שלב
‏- Staggered,"מודרג, לא בשורה אחת"
‏- Staggering,מדורג
‏- Stall,הדקקות
‏- Standard,"תקני, רגיל, ממוצע"
‏- Starting,התנעה
‏- Starvation,חוסר דלק/שמן
‏- Static,סטטי
‏- Stationary,נייח
‏- Stay,"יציב, קבוע"
‏- Steady,יציב
‏- Steel,פלדה
‏- Steering,הגה
‏- Stick,"מקל, לדחוף/לבריח, להדביק"
‏- Stiff,"קשוח, קשה"
‏- Stitch,לתפור
‏- Stock,מלאי
‏- Storage,"מחסן, לאחסן"
‏- Store,לאחסן
‏- Stowage,איחסון
‏- Straight,"ישר, לסדר"
‏- Straighten,"ליישר, לסדר"
‏- Strand,גדיל חוטים
‏- Strap,רצועה
‏- Stream,"זרם, כוח"
‏- Strength,"עוצמה, מחץ, להחזיק"
‏- Strengthen,לחזק
‏- Stress,"מתח, לחצים"
‏- Strict,"מחמיר, קפדן"
‏- Strip,"פס, רצועה, להסיר"
‏- Strong,חזק
‏- Structure,מבנה
‏- Strut,תמוכה
‏- Stuck,תקוע
‏- Subassembly,תת-הרכבה
‏- Subsequently,לאחר מכן
‏- Substitute,להחליף (לבוא במקום)
‏- Suction,יניקה
‏- Sufficient,מספיק
‏- Suitable,מתאים
‏- Superfluous,מיותר
‏- Supply,"אספקה, לספק, מלאי"
‏- Support,"תמיכה, לתמוך"
‏- Sure,בטוח
‏- Surface,"שטח, משטח"
‏- Surge,גל
‏- Surplus,עודף
‏- Suspend,להשעות
‏- Suspicion,חשד
‏- Swift,מהיר
‏- Switch,"מפסק, מגף, להחליף"
